ujrfjujrfhj ha;Severity;Alarm ID;Name;NE Type;MO Name;Alarm Source;Occurred On (NT);Cleared On (NT);Acknowledged On (ST);Location Information;Additional Information;Acknowledged By;RRU Name;Log Serial Number;BBU Name;Equipment Alarm Serial Number;eNodeB ID;User Label;Maintenance Status
Root alarm;Minor;26263;IP Clock Link Failure;BTS3900;coBTS_Cite_Esken;coBTS_Cite_Esken;27/08/2023 16:44;27/08/2023 16:45;27/08/2023 16:48;Link No.=1, Server IP Address=172.27.159.134;RAT_INFO=GUL, AFFECTED_RAT=GUL, DID=88703cc6-52fe-11e3-8000-00212856ed5a_HINCC, Cumulative Duration(s)=90, eNodeBId=45449;< System operator >;-;205415070;coBTS_Cite_Esken;18437;45449;-;NORMAL
Root alarm;Major;25622;Mains Input Out of Range;BTS3900;Board Type=PMU, Cabinet No.=1, Subrack No.=7, Slot No.=0;coBTS_Ghar_Melh_Postele;27/08/2023 16:44;27/08/2023 16:47;27/08/2023 16:50;Cabinet No.=1, Subrack No.=7, Slot No.=0, Board Type=PMU, Manager Cabinet No.=0, Manager Subrack No.=0, Specific Problem=AC Undervoltage;RAT_INFO=GUL, AFFECTED_RAT=GUL, DID=a0a218c0-5301-11e3-8000-00212856ed5a_HINCC, Cumulative Duration(s)=40, eNodeBId=41231;< System operator >;-;205415083;coBTS_Ghar_Melh_Postele;98139;41231;-;NORMAL
-;Major;25622;Mains Input Out of Range;GBTS;Ibn_Thabet;KSBBSC6910/Ibn_Thabet;27/08/2023 16:45;27/08/2023 16:45;27/08/2023 16:48;Cabinet No.=0, Subrack No.=7, Slot No.=0, Board Type=PMU, Specific Problem=AC Undervoltage, Site No.=118, Site Type=BTS3900A GSM, Site Name=Ibn_Thabet;RAT_INFO=GUL, AFFECTED_RAT=GUL, DID=62525af8-5301-11e3-8000-00212856ed5a_HINCC;< System operator >;-;205415084;-;212293;-;-;NORMAL
Root alarm;Major;25622;Mains Input Out of Range;BTS3900;Board Type=PMU, Cabinet No.=0, Subrack No.=7, Slot No.=0;coBTS_Ibn_Thabet;27/08/2023 16:45;27/08/2023 16:45;27/08/2023 16:45;Cabinet No.=0, Subrack No.=7, Slot No.=0, Board Type=PMU, Manager Cabinet No.=0, Manager Subrack No.=0, Specific Problem=AC Undervoltage;RAT_INFO=GUL, AFFECTED_RAT=GUL, DID=62525af8-5301-11e3-8000-00212856ed5a_HINCC, eNodeBId=45181;< System operator >;-;205415085;coBTS_Ibn_Thabet;13578;45181;-;NORMAL
-;Major;25621;Power Supply DC Output Out of Range;GBTS;Rades_ZI_GSM_DCS;BNABSC/Rades_ZI_GSM_DCS;27/08/2023 16:45;27/08/2023 16:45;27/08/2023 16:46;Cabinet No.=1, Subrack No.=7, Slot No.=0, Board Type=PMU, Specific Problem=DC Undervoltage, Site No.=79, Site Type=BTS3900 GSM, Site Name=Rades_ZI_GSM_DCS;RAT_INFO=GUL, AFFECTED_RAT=GUL, DID=3d88e8ca-52fe-11e3-8000-00212856ed5a_HINCC;< System operator >;-;205415086;-;146552;-;-;NORMAL
Root alarm;Major;25621;Power Supply DC Output Out of Range;BTS3900;Board Type=PMU, Cabinet No.=1, Subrack No.=7, Slot No.=0;coBTS_Rades_ZI;27/08/2023 16:45;27/08/2023 16:45;27/08/2023 16:46;Cabinet No.=1, Subrack No.=7, Slot No.=0, Board Type=PMU, Sub Slot No.=NULL, Manager Cabinet No.=0, Manager Subrack No.=0, Specific Problem=DC Undervoltage;RAT_INFO=GUL, AFFECTED_RAT=GUL, DID=3d88e8ca-52fe-11e3-8000-00212856ed5a_HINCC, eNodeBId=45063;< System operator >;-;205415087;coBTS_Rades_ZI;138366;45063;-;NORMAL
Root alarm;Major;25626;Power Module Abnormal;BTS3900;Board Type=PMU, Cabinet No.=1, Subrack No.=7, Slot No.=0;coBTS_El_Fejja;27/08/2023 16:45;27/08/2023 16:47;27/08/2023 16:47;Cabinet No.=1, Subrack No.=7, Slot No.=0, PSU Slot No.=2, Board Type=PMU, Manager Cabinet No.=0, Manager Subrack No.=0, Specific Problem=Power Module Fault;RAT_INFO=GUL, AFFECTED_RAT=GUL, DID=8e5ef25a-5301-11e3-8000-00212856ed5a_HINCC, eNodeBId=41253;< System operator >;-;205415089;coBTS_El_Fejja;5373;41253;-;NORMAL
Root alarm;Minor;26564;RF Unit DC Input Power Failure;BTS3900;Cabinet No.=0, Subrack No.=84, Slot No.=0, RRU-2100-S3;coBTS_Rades_ZI;27/08/2023 16:45;27/08/2023 16:55;27/08/2023 16:55;Cabinet No.=0, Subrack No.=84, Slot No.=0, Board Type=MRRU;RAT_INFO=GUL, AFFECTED_RAT=UL, DID=3d88e8ca-52fe-11e3-8000-00212856ed5a_HINCC, RF Unit Name=RRU-2100-S3, eNodeBId=45063;< System operator >;RRU-2100-S3;205415092;coBTS_Rades_ZI;138367;45063;-;NORMAL
Root alarm;Minor;26263;IP Clock Link Failure;BTS3900;coBTS_Cite_Esken;coBTS_Cite_Esken;27/08/2023 16:44;27/08/2023 16:45;27/08/2023 16:48;Link No.=0, Server IP Address=172.27.159.14;RAT_INFO=GUL, AFFECTED_RAT=GUL, DID=88703cc6-52fe-11e3-8000-00212856ed5a_HINCC, Cumulative Duration(s)=90, eNodeBId=45449;< System operator >;-;205415097;coBTS_Cite_Esken;18438;45449;-;NORMAL
Root alarm;Major;26235;RF Unit Maintenance Link Failure;BTS3900;Cabinet No.=0, Subrack No.=62, Slot No.=0, RRU-900-S2;coBTS_Rades_ZI;27/08/2023 16:44;27/08/2023 16:55;27/08/2023 16:55;Cabinet No.=0, Subrack No.=62, Slot No.=0, Board Type=MRRU, Specific Problem=Other;RAT_INFO=GUL, AFFECTED_RAT=U, DID=3d88e8ca-52fe-11e3-8000-00212856ed5a_HINCC, RF Unit Name=RRU-900-S2, Cumulative Duration(s)=100, eNodeBId=45063;< System operator >;RRU-900-S2;205415100;coBTS_Rades_ZI;138368;45063;-;NORMAL
Root alarm;Major;29240;Cell Unavailable;BTS3900;eNodeB Function Name=4G_Rades_ZI_GSM_DCS, Local Cell ID=12, Cell Name=4G_Rades_ZI_GSM_DCS_e1800_2, Cell FDD TDD indication=CELL_FDD;coBTS_Rades_ZI;27/08/2023 16:45;27/08/2023 16:46;27/08/2023 16:47;eNodeB Function Name=4G_Rades_ZI_GSM_DCS, Local Cell ID=12, Cell FDD TDD indication=FDD, NB-IoT Cell Flag=FALSE, Cell Name=4G_Rades_ZI_GSM_DCS_e1800_2, eNodeB ID=45063, Cell ID=12, Specific Problem=RF module abnormal;RAT_INFO=GUL, AFFECTED_RAT=L, DID=3d88e8ca-52fe-11e3-8000-00212856ed5a_HINCC, Cumulative Duration(s)=90, eNodeBId=45063;< System operator >;-;205415109;coBTS_Rades_ZI;138371;45063;-;NORMAL
Root alarm;Minor;26263;IP Clock Link Failure;BTS3900;CTT_KRATEN;CTT_KRATEN;27/08/2023 16:45;27/08/2023 16:52;27/08/2023 16:55;Link No.=1, Server IP Address=172.27.159.46;RAT_INFO=GUL, AFFECTED_RAT=GUL, DID=NULL, Cumulative Duration(s)=90, eNodeBId=41450;< System operator >;-;205415110;CTT_KRATEN;74881;41450;-;NORMAL
Root alarm;Major;29240;Cell Unavailable;BTS3900;eNodeB Function Name=4G_Cap_Blanc_Coh_OO, Local Cell ID=12, Cell Name=4G_Cap_Blanc_Coh_OO_e1800_2, Cell FDD TDD indication=CELL_FDD;coBTS_Cap_Blanc_Coh_OO;27/08/2023 16:45;27/08/2023 16:45;27/08/2023 16:46;eNodeB Function Name=4G_Cap_Blanc_Coh_OO, Local Cell ID=12, Cell FDD TDD indication=FDD, NB-IoT Cell Flag=FALSE, Cell Name=4G_Cap_Blanc_Coh_OO_e1800_2, eNodeB ID=41279, Cell ID=12, Specific Problem=RF module abnormal;RAT_INFO=GUL, AFFECTED_RAT=L, DID=NULL, Cumulative Duration(s)=90, eNodeBId=41279;< System operator >;-;205415112;coBTS_Cap_Blanc_Coh_OO;73148;41279;-;NORMAL
Root alarm;Minor;26546;RF Unit External Power Supply Insufficient;BTS3900;coBTS-Azur-City-indoor;coBTS-Azur-City-indoor;27/08/2023 16:45;27/08/2023 16:45;27/08/2023 16:50;Cabinet No.=0, Subrack No.=61, Slot No.=0, Specific Problem=Cabinet Power Supply Abnormal;RAT_INFO=GUL, AFFECTED_RAT=GL, DID=NULL, RF Unit Name=NULL, Cumulative Duration(s)=30, eNodeBId=45374;< System operator >;NULL;205415124;coBTS-Azur-City-indoor;115928;45374;-;NORMAL
-;Minor;22241;UMTS Cell MC-HSDPA Function Fault;BSC6900 UMTS;Label=3G_Bouhetma_1, CellID=60911;BEJRNC;27/08/2023 16:44;27/08/2023 16:44;27/08/2023 16:46;Subrack No.=1, Slot No.=3, Subsystem No.=3, RNC ID=9, Cell ID=60911, Cell Name=3G_Bouhetma_1, NodeB ID=6091, Fault Type=DC-HSDPA fault, NodeB Name=3G_Bouhetma, Local Cell ID=160911, Alarm Cause=The other cells of the carrier group does not meet the requirements specified by the carrier group.;-;< System operator >;-;205415125;-;1003785;-;-;NORMAL
-;Minor;22241;UMTS Cell MC-HSDPA Function Fault;BSC6900 UMTS;Label=3G_Bouhetma_5, CellID=60915;BEJRNC;27/08/2023 16:44;27/08/2023 16:44;27/08/2023 16:46;Subrack No.=1, Slot No.=3, Subsystem No.=3, RNC ID=9, Cell ID=60915, Cell Name=3G_Bouhetma_5, NodeB ID=6091, Fault Type=DC-HSDPA fault, NodeB Name=3G_Bouhetma, Local Cell ID=160915, Alarm Cause=The other cells of the carrier group does not meet the requirements specified by the carrier group.;-;< System operator >;-;205415127;-;1003786;-;-;NORMAL
-;Minor;22241;UMTS Cell MC-HSDPA Function Fault;BSC6900 UMTS;Label=3G_Bouhetma_3, CellID=60913;BEJRNC;27/08/2023 16:44;27/08/2023 16:44;27/08/2023 16:46;Subrack No.=1, Slot No.=3, Subsystem No.=3, RNC ID=9, Cell ID=60913, Cell Name=3G_Bouhetma_3, NodeB ID=6091, Fault Type=DC-HSDPA fault, NodeB Name=3G_Bouhetma, Local Cell ID=160913, Alarm Cause=The other cells of the carrier group does not meet the requirements specified by the carrier group.;-;< System operator >;-;205415128;-;1003787;-;-;NORMAL
-;Minor;22241;UMTS Cell MC-HSDPA Function Fault;BSC6900 UMTS;Label=3G_Bouhetma_2, CellID=60912;BEJRNC;27/08/2023 16:44;27/08/2023 16:44;27/08/2023 16:46;Subrack No.=1, Slot No.=3, Subsystem No.=3, RNC ID=9, Cell ID=60912, Cell Name=3G_Bouhetma_2, NodeB ID=6091, Fault Type=DC-HSDPA fault, NodeB Name=3G_Bouhetma, Local Cell ID=160912, Alarm Cause=The other cells of the carrier group does not meet the requirements specified by the carrier group.;-;< System operator >;-;205415129;-;1003788;-;-;NORMAL
-;Minor;22241;UMTS Cell MC-HSDPA Function Fault;BSC6900 UMTS;Label=3G_Bouhetma_4, CellID=60914;BEJRNC;27/08/2023 16:44;27/08/2023 16:44;27/08/2023 16:46;Subrack No.=1, Slot No.=3, Subsystem No.=3, RNC ID=9, Cell ID=60914, Cell Name=3G_Bouhetma_4, NodeB ID=6091, Fault Type=DC-HSDPA fault, NodeB Name=3G_Bouhetma, Local Cell ID=160914, Alarm Cause=The other cells of the carrier group does not meet the requirements specified by the carrier group.;-;< System operator >;-;205415130;-;1003789;-;-;NORMAL
-;Minor;22241;UMTS Cell MC-HSDPA Function Fault;BSC6900 UMTS;Label=3G_Bouhetma_6, CellID=60916;BEJRNC;27/08/2023 16:44;27/08/2023 16:44;27/08/2023 16:46;Subrack No.=1, Slot No.=3, Subsystem No.=3, RNC ID=9, Cell ID=60916, Cell Name=3G_Bouhetma_6, NodeB ID=6091, Fault Type=DC-HSDPA fault, NodeB Name=3G_Bouhetma, Local Cell ID=160916, Alarm Cause=The other cells of the carrier group does not meet the requirements specified by the carrier group.;-;< System operator >;-;205415131;-;1003790;-;-;NORMAL
Root alarm;Minor;21541;SCTP Link Fault;BSC6900 GSM;SCTP link No.=, Slot No.=, Subrack No.=, SCTP Link ID=74;BNABSC;27/08/2023 16:45;27/08/2023 16:46;27/08/2023 16:46;Subrack No.=2, Slot No.=2, Subsystem No.=2, SCTP Link ID=74, SCTP Link No.=65535, Interface Type=Abis, BTS ID=201, BTS Name=Rades_Port_II, Alarm Cause=peer abort uncertainly;-;< System operator >;-;205415149;-;146554;-;-;NORMAL
Root alarm;Minor;26263;IP Clock Link Failure;BTS3900;RAMLA;RAMLA;27/08/2023 16:45;27/08/2023 16:47;27/08/2023 16:50;Link No.=0, Server IP Address=172.27.159.46;RAT_INFO=GUL, AFFECTED_RAT=GUL, DID=NULL, Cumulative Duration(s)=90, eNodeBId=43932;< System operator >;-;205415157;RAMLA;29702;43932;-;NORMAL
Root alarm;Minor;21541;SCTP Link Fault;BSC6900 GU;SRN=3, SN=4, SCTPLNKN=564, SCTP Link ID=3040564;ORDGU;27/08/2023 16:45;27/08/2023 16:46;27/08/2023 16:46;Subrack No.=3, Slot No.=5, Subsystem No.=1, SCTP Link ID=3040564, SCTP Link No.=564, Interface Type=Iub, NodeB ID=641, NodeB Name=3G_Rades_Port_II, Alarm Cause=peer abort uncertainly;-;< System operator >;-;205415161;-;227066;-;-;NORMAL
Root alarm;Minor;21542;SCTP Link Congestion;BSC6900 GSM;SCTP link No.=, Slot No.=, Subrack No.=, SCTP Link ID=5025;BIZBSC;27/08/2023 16:46;27/08/2023 16:46;27/08/2023 16:46;Subrack No.=0, Slot No.=1, Subsystem No.=7, SCTP Link ID=5025, SCTP Link No.=65535, Interface Type=Abis, BTS ID=138, BTS Name=Sidi_Ali_Mekki_II;-;< System operator >;-;205415162;-;178584;-;-;NORMAL
Root alarm;Major;28203;Local Cell Unusable;BTS3900;coBTS_Rades_ZI;coBTS_Rades_ZI;27/08/2023 16:45;27/08/2023 16:55;27/08/2023 16:55;NodeB Function Name=3G_Rades_ZI, Local Cell ID=100631, Specific Problem=RF Board Unavailable;RAT_INFO=GUL, AFFECTED_RAT=U, DID=3d88e8ca-52fe-11e3-8000-00212856ed5a_HINCC, Cumulative Duration(s)=90, eNodeBId=45063;< System operator >;-;205415167;coBTS_Rades_ZI;138374;45063;-;NORMAL
Root alarm;Major;28203;Local Cell Unusable;BTS3900;coBTS_Rades_ZI;coBTS_Rades_ZI;27/08/2023 16:45;27/08/2023 16:55;27/08/2023 16:55;NodeB Function Name=3G_Rades_ZI, Local Cell ID=100634, Specific Problem=RF Board Unavailable;RAT_INFO=GUL, AFFECTED_RAT=U, DID=3d88e8ca-52fe-11e3-8000-00212856ed5a_HINCC, Cumulative Duration(s)=90, eNodeBId=45063;< System operator >;-;205415168;coBTS_Rades_ZI;138375;45063;-;NORMAL
Root alarm;Major;29240;Cell Unavailable;BTS3900;eNodeB Function Name=4G_Cap_Blanc_Coh_OO, Local Cell ID=11, Cell Name=4G_Cap_Blanc_Coh_OO_e1800_1, Cell FDD TDD indication=CELL_FDD;coBTS_Cap_Blanc_Coh_OO;27/08/2023 16:46;27/08/2023 16:47;27/08/2023 16:47;eNodeB Function Name=4G_Cap_Blanc_Coh_OO, Local Cell ID=11, Cell FDD TDD indication=FDD, NB-IoT Cell Flag=FALSE, Cell Name=4G_Cap_Blanc_Coh_OO_e1800_1, eNodeB ID=41279, Cell ID=11, Specific Problem=RF Power OFF;RAT_INFO=GUL, AFFECTED_RAT=L, DID=NULL, Cumulative Duration(s)=90, eNodeBId=41279;< System operator >;-;205415172;coBTS_Cap_Blanc_Coh_OO;73150;41279;-;NORMAL
Root alarm;Major;25621;Power Supply DC Output Out of Range;BTS3900;Board Type=PMU, Cabinet No.=0, Subrack No.=7, Slot No.=0;coBTS_Cap_Blanc_Coh_OO;27/08/2023 16:46;27/08/2023 16:47;27/08/2023 16:47;Cabinet No.=0, Subrack No.=7, Slot No.=0, Board Type=PMU, Sub Slot No.=NULL, Manager Cabinet No.=0, Manager Subrack No.=0, Specific Problem=DC Undervoltage;RAT_INFO=GUL, AFFECTED_RAT=GUL, DID=NULL, eNodeBId=41279;< System operator >;-;205415173;coBTS_Cap_Blanc_Coh_OO;73151;41279;-;NORMAL
-;Major;21392;Adjacent Node IP Address Ping Failure;BSC6910 UMTS;KSBRNC;KSBRNC;27/08/2023 16:46;27/08/2023 16:53;27/08/2023 16:53;Subrack No.=0, Slot No.=27, Adjacent Node IP Address=172.29.21.236, Number of Adjacent Node 1=546, Number of Adjacent Node 2=<NULL>, Number of Adjacent Node 3=<NULL>, Number of Adjacent Node 4=<NULL>, Number of Adjacent Node 5=<NULL>, Number of Adjacent Node 6=<NULL>, Number of Adjacent Node 7=<NULL>, Number of Adjacent Node 8=<NULL>, Interface Type of Adjacent Node 1=Iub, Interface Type of Adjacent Node 2=<NULL>, Interface Type of Adjacent Node 3=<NULL>, Interface Type of Adjacent Node 4=<NULL>, Interface Type of Adjacent Node 5=<NULL>, Interface Type of Adjacent Node 6=<NULL>, Interface Type of Adjacent Node 7=<NULL>, Interface Type of Adjacent Node 8=<NULL>, Additional Information=Name of Adjacent Node 1=3G_Sidi_Ali_Mekki_II, Name of Adj;acent Node 2=<NULL>, Name of Adjacent Node 3=<NULL>, Name of Adjacent Node 4=<NULL>, Name of Adjacent Node 5=<NULL>, Name of Adjacent Node 6=<NULL>, Name of Adjacent Node 7=<NULL>, Name of Adjacent Node 8=<NULL>;< System operator >;-;205415174;-;2380330;-;-;NORMAL
Root alarm;Major;26235;RF Unit Maintenance Link Failure;BTS3900;Cabinet No.=0, Subrack No.=84, Slot No.=0;coBTS-Azur-City-indoor;27/08/2023 16:46;27/08/2023 16:48;27/08/2023 16:51;Cabinet No.=0, Subrack No.=84, Slot No.=0, Board Type=MRRU, Specific Problem=Other;RAT_INFO=GUL, AFFECTED_RAT=U, DID=NULL, RF Unit Name=NULL, Cumulative Duration(s)=100, eNodeBId=45374;< System operator >;NULL;205415177;coBTS-Azur-City-indoor;115929;45374;-;NORMAL
-;Minor;22241;UMTS Cell MC-HSDPA Function Fault;BSC6900 GU;Label=3G_Rades_Port_II_3, CellID=6413;ORDGU;27/08/2023 16:46;27/08/2023 16:46;27/08/2023 16:48;Subrack No.=3, Slot No.=5, Subsystem No.=1, RNC ID=4, Cell ID=6413, Cell Name=3G_Rades_Port_II_3, NodeB ID=641, Fault Type=DC-HSDPA fault, NodeB Name=3G_Rades_Port_II, Local Cell ID=106413, Alarm Cause=The other cells of the carrier group does not meet the requirements specified by the carrier group.;-;< System operator >;-;205415180;-;227067;-;-;NORMAL
-;Minor;22241;UMTS Cell MC-HSDPA Function Fault;BSC6900 GU;Label=3G_Rades_Port_II_4, CellID=6414;ORDGU;27/08/2023 16:46;27/08/2023 16:46;27/08/2023 16:48;Subrack No.=3, Slot No.=5, Subsystem No.=1, RNC ID=4, Cell ID=6414, Cell Name=3G_Rades_Port_II_4, NodeB ID=641, Fault Type=DC-HSDPA fault, NodeB Name=3G_Rades_Port_II, Local Cell ID=106414, Alarm Cause=The other cells of the carrier group does not meet the requirements specified by the carrier group.;-;< System operator >;-;205415181;-;227068;-;-;NORMAL
-;Minor;22241;UMTS Cell MC-HSDPA Function Fault;BSC6900 GU;Label=3G_Rades_Port_II_1, CellID=6411;ORDGU;27/08/2023 16:46;27/08/2023 16:46;27/08/2023 16:48;Subrack No.=3, Slot No.=5, Subsystem No.=1, RNC ID=4, Cell ID=6411, Cell Name=3G_Rades_Port_II_1, NodeB ID=641, Fault Type=DC-HSDPA fault, NodeB Name=3G_Rades_Port_II, Local Cell ID=106411, Alarm Cause=The other cells of the carrier group does not meet the requirements specified by the carrier group.;-;< System operator >;-;205415182;-;227069;-;-;NORMAL
-;Minor;22241;UMTS Cell MC-HSDPA Function Fault;BSC6900 GU;Label=3G_Rades_Port_II_6, CellID=6416;ORDGU;27/08/2023 16:46;27/08/2023 16:46;27/08/2023 16:48;Subrack No.=3, Slot No.=5, Subsystem No.=1, RNC ID=4, Cell ID=6416, Cell Name=3G_Rades_Port_II_6, NodeB ID=641, Fault Type=DC-HSDPA fault, NodeB Name=3G_Rades_Port_II, Local Cell ID=106416, Alarm Cause=The other cells of the carrier group does not meet the requirements specified by the carrier group.;-;< System operator >;-;205415183;-;227070;-;-;NORMAL
-;Minor;22241;UMTS Cell MC-HSDPA Function Fault;BSC6900 GU;Label=3G_Rades_Port_II_2, CellID=6412;ORDGU;27/08/2023 16:46;27/08/2023 16:46;27/08/2023 16:48;Subrack No.=3, Slot No.=5, Subsystem No.=1, RNC ID=4, Cell ID=6412, Cell Name=3G_Rades_Port_II_2, NodeB ID=641, Fault Type=DC-HSDPA fault, NodeB Name=3G_Rades_Port_II, Local Cell ID=106412, Alarm Cause=The other cells of the carrier group does not meet the requirements specified by the carrier group.;-;< System operator >;-;205415184;-;227071;-;-;NORMAL
-;Minor;22241;UMTS Cell MC-HSDPA Function Fault;BSC6900 GU;Label=3G_Rades_Port_II_5, CellID=6415;ORDGU;27/08/2023 16:46;27/08/2023 16:46;27/08/2023 16:48;Subrack No.=3, Slot No.=5, Subsystem No.=1, RNC ID=4, Cell ID=6415, Cell Name=3G_Rades_Port_II_5, NodeB ID=641, Fault Type=DC-HSDPA fault, NodeB Name=3G_Rades_Port_II, Local Cell ID=106415, Alarm Cause=The other cells of the carrier group does not meet the requirements specified by the carrier group.;-;< System operator >;-;205415185;-;227072;-;-;NORMAL
